Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
531761,APOLLOPIPES,B,278.35,290.40,278.35,288.35,813,2.29,103
533282,GRAVITA,B,35.10,36.50,33.75,35.80,6580,2.29,328
540595,TEJASNET,A,41.00,41.00,40.70,40.70,5545,2.26,29
532313,MAHLIFE,A,194.00,196.30,192.00,193.80,1145,2.22,38
533160,DBREALTY,B,3.72,3.96,3.61,3.96,58748,2.20,113
538666,SHARDACROP,B,133.50,142.80,129.80,142.80,1605,2.20,42
519260,SANWARIA,B,1.78,1.78,1.78,1.78,123600,2.20,74
520043,MUNJALSHOW,B,73.05,73.90,73.05,73.05,2979,2.18,123
531795,ATULAUTO,B,168.35,168.35,156.10,160.50,1341,2.18,166
524051,POLYPLEX*,B,398.95,409.25,397.10,400.55,544,2.17,72
540649,AVADHSUGAR,B,138.80,147.15,138.00,139.10,1542,2.17,48
500777,TNPETRO,B,30.40,30.80,29.50,30.25,7173,2.16,266
533326,TEXRAIL,B,26.65,26.65,25.25,26.20,8238,2.14,117
500280,CENTENKA,B,133.10,133.80,130.95,132.10,1609,2.13,146
533138,ASTEC,B,382.05,415.40,382.00,412.30,538,2.12,97
500249,KSB,B,504.05,506.00,496.45,505.60,420,2.11,72
502168,NCLIND,B,68.00,68.85,65.50,66.90,3156,2.11,81
522263,JMCPROJECT,B,40.55,40.55,40.45,40.45,5171,2.09,36
522064,HONDAPOWER,B,895.70,901.65,879.85,895.15,234,2.08,60
532891,PURVA,B,36.20,36.90,35.05,36.45,5576,2.02,127
532734,GPIL,B,116.45,117.90,113.05,117.50,1731,2.01,179
504614,SARDAEN,B,135.00,136.00,133.00,135.50,1486,2.01,111
542667,WORL,M,100.00,100.00,100.00,100.00,2000,2.00,1
502450,SESHAPAPER,B,137.00,137.00,129.00,130.30,1500,1.97,171
532508,JSL,B,28.65,28.80,28.15,28.55,6914,1.97,62
532796,LUMAXTECH,B,79.80,79.80,63.70,67.25,2992,1.97,75
532443,CERA,A,2200.45,2241.25,2180.20,2231.10,88,1.96,33
540673,SIS,A,398.00,407.00,390.00,397.75,486,1.96,46
500472,SKFINDIA,A,1469.35,1476.15,1455.55,1462.70,131,1.92,23
532679,SORILINFRA,B,53.75,53.75,53.75,53.75,3559,1.91,24
500460,MUKANDLTD,B,20.00,20.75,19.20,19.78,9415,1.90,61
505890,KENNAMET,B,749.35,764.00,724.80,757.75,254,1.89,84
533333,FCL,B,21.90,21.90,21.08,21.19,8777,1.87,107
532767,GAYAPROJ,B,10.77,10.77,10.77,10.77,17296,1.86,18
534742,ZUARI,B,84.85,86.00,78.00,85.35,2195,1.86,127
524394,VIMTALABS,B,84.00,84.00,70.00,75.10,2478,1.85,69
534369,TBZ,B,23.00,23.90,22.60,23.60,7746,1.82,197
542654,VRFILMS,M,90.00,90.00,90.00,90.00,2000,1.80,2
532369,RAMCOIND,B,134.35,134.35,131.00,131.40,1353,1.79,145
531120,PATELENG,B,12.40,13.00,12.40,12.96,13938,1.77,94
509557,GARFIBRES,B,1200.00,1249.00,1200.00,1218.85,143,1.75,36
532859,HGS,B,590.00,592.85,586.00,589.60,293,1.72,24
532934,PPAP,B,155.65,166.50,155.65,163.15,1060,1.72,76
526173,ANDREWYU,B,9.40,10.23,9.40,9.78,17376,1.70,85
500449,HOCL,T,10.60,11.00,10.30,10.95,15853,1.69,71
533107,RNAVAL,T,1.27,1.27,1.27,1.27,128915,1.64,90
