Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
533098,NHPC,A,21.15,21.35,20.85,21.15,92059,19.37,325
533122,RTNPOWER,B,1.43,1.43,1.37,1.38,1394329,19.35,182
542904,UJJIVANSFB,B,31.00,31.10,29.20,30.00,64360,19.23,464
500185,HCC,B,5.02,5.22,4.96,4.96,380192,18.99,293
517380,IGARASHI,B,215.75,235.00,208.10,229.90,8260,18.62,278
532659,IDFC,A,16.92,16.92,16.04,16.04,114969,18.55,391
532839,DISHTV,A,4.80,4.86,4.58,4.72,394088,18.53,15517
540047,DBL,A,253.60,257.00,242.10,250.00,7421,18.52,243
533229,BAJAJCON,A,157.05,159.20,150.35,156.40,11696,18.28,580
532390,TAJGVK,B,112.35,128.20,112.00,123.25,14654,17.97,556
532805,REDINGTON,A,71.00,72.90,69.35,71.05,24636,17.52,1092
532301,TATACOFFEE,B,70.60,70.60,68.80,70.05,25024,17.47,472
517300,GIPCL,B,55.05,61.25,55.05,58.05,29823,17.35,510
506395,COROMANDEL,A,537.00,549.00,508.05,541.20,3280,17.35,419
523319,BALMLAWRIE,B,102.40,102.40,98.70,99.55,17066,17.03,706
542651,KPITTECH,B,50.50,50.55,45.75,49.60,34279,16.98,537
532509,SUPRAJIT,A,117.65,120.20,114.10,119.25,14284,16.86,584
506414,FERMENTA,X,228.60,243.00,228.60,239.60,7068,16.79,154
540769,NIACL,A,117.45,121.10,115.25,118.05,14209,16.77,810
532830,ASTRAL,A,885.00,885.00,851.20,863.85,1932,16.73,284
540743,GODREJAGRO,A,387.00,388.80,376.00,378.75,4329,16.57,508
513605,SRIPIPES,B,133.10,137.10,130.00,134.80,12362,16.53,1366
500067,BLUESTARCO,A,549.50,569.50,521.45,561.75,2983,16.34,621
542216,DALBHARAT*,B,544.00,545.00,525.00,526.80,3031,16.10,269
532708,GVKPIL,B,2.81,2.81,2.70,2.78,582366,16.08,323
532485,BLIL,B,304.15,317.95,304.15,315.15,5149,16.00,219
540750,IEX,A,170.95,170.95,151.35,156.30,10404,15.97,612
540935,GALAXYSURF,B,1316.35,1439.90,1300.00,1422.25,1139,15.92,385
523694,APCOTEXIND,B,85.30,106.70,85.00,104.30,15095,15.45,153
541233,LEMONTREE,A,18.05,18.05,17.15,17.40,87590,15.24,392
532683,AIAENG,A,1429.30,1525.00,1412.70,1488.55,1035,15.21,255
541988,AAVAS,A,1267.65,1270.15,1226.85,1226.85,1207,14.93,260
500940,FINOLEXIND,A,401.10,417.05,401.00,414.00,3642,14.91,519
532605,JBMA,B,166.00,174.95,165.00,172.70,8487,14.76,285
517569,KEI,A,276.00,288.10,269.10,287.45,5187,14.51,313
505533,WESTLIFE,A,300.10,300.70,290.00,292.25,4877,14.39,591
509631,HEG,A,906.30,906.30,906.30,906.30,1586,14.37,86
540692,APEX,B,247.45,247.45,225.00,234.65,6094,14.33,283
513599,HINDCOPPER,A,25.30,26.10,24.70,25.50,56159,14.27,377
500109,MRPL,A,32.00,32.60,30.20,31.90,44804,14.07,518
504112,NELCO,B,188.00,188.00,178.80,181.50,7730,14.06,713
534139,SCHNEIDER,B,81.00,86.00,81.00,83.50,16761,14.06,548
503100,PHOENIXLTD,A,550.00,562.10,533.35,543.65,2587,14.04,354
511676,GICHSGFIN,A,78.00,78.50,74.35,74.65,18480,14.01,491
500106,IFCI,A,4.15,4.21,4.04,4.14,338813,13.92,7381
532610,DWARKESH,B,18.45,19.00,17.85,18.50,74637,13.90,354
532794,ZEEMEDIA,T,4.80,5.20,4.75,5.18,280130,13.85,216
532627,JPPOWER,T,0.70,0.76,0.70,0.76,1859134,13.76,228
532652,KTKBANK,A,42.50,43.60,42.00,43.15,32188,13.71,338
530367,NRBBEARING,B,69.00,73.90,66.00,71.45,19530,13.71,366
500165,KANSAINER,A,389.45,389.45,375.95,379.50,3570,13.59,552
532309,GEPIL,A,432.00,432.00,426.35,430.20,3153,13.55,407
523630,NFL,B,24.60,26.15,23.30,24.70,55299,13.43,443
540724,DIAMONDYD,B,488.65,495.00,477.20,480.35,2756,13.37,315
500690,GSFC,A,42.00,44.50,41.25,43.15,31288,13.29,281
531335,ZYDUSWELL,A,1260.15,1281.95,1257.35,1271.95,1043,13.23,239
517174,HONAUT,A,27900.00,29000.00,27788.55,28012.55,47,13.17,36
509966,VSTIND,A,2931.55,2931.55,2880.15,2903.05,450,13.06,154
520051,JAMNAAUTO,A,26.80,26.80,25.85,26.30,49648,13.04,409
526612,BLUEDART,A,2146.50,2146.50,2065.05,2081.80,623,13.02,205
505355,NESCO,A,445.55,446.85,434.20,437.15,2941,12.90,368
520057,JTEKTINDIA,B,48.05,54.00,47.20,53.30,24775,12.88,629
502742,SINTEX,B,0.94,0.94,0.90,0.91,1402085,12.84,406
531500,RAJESHEXPO,A,541.00,542.40,530.00,532.35,2391,12.78,654
500444,WSTCSTPAPR,B,142.00,142.00,135.00,138.25,9367,12.72,192
532400,BSOFT,A,65.00,65.30,63.00,64.65,19696,12.66,618
542907,PRINCEPIPE,B,99.45,99.45,92.60,95.50,13127,12.58,651
543193,DJML,MT,20.15,22.25,20.15,21.30,60000,12.54,10
506820,ASTRAZEN,A,2618.20,2631.45,2540.00,2544.25,481,12.45,200
506022,PRAKASH,B,28.65,28.65,27.30,27.85,44458,12.34,254
507526,ASALCBR,B,167.90,177.45,166.00,171.05,7263,12.27,434
517421,BUTTERFLY,B,100.00,109.85,100.00,106.25,11645,12.26,692
500411,THERMAX,A,701.10,719.55,698.00,702.10,1729,12.24,209
500092,CRISIL,A,1383.65,1429.95,1383.65,1419.90,867,12.22,246
538635,SNOWMAN,B,30.95,31.00,29.50,30.05,40261,12.11,253
533206,SJVN,A,21.15,21.90,20.90,21.70,56246,11.96,232
542760,SWSOLAR,B,136.70,136.70,136.70,136.70,8738,11.94,9
540136,HPL,B,29.80,30.00,28.80,29.00,40488,11.93,536
534809,PCJEWELLER,T,12.01,12.40,11.78,11.79,100255,11.85,342
519588,DFM,B,203.70,225.95,202.85,221.75,5610,11.84,437
519091,TASTYBIT,B,9586.90,9909.95,9574.65,9885.00,120,11.78,52
507753,TGVSL,X,16.90,16.90,16.10,16.16,72394,11.72,116
531426,TNPL,A,99.15,99.95,97.50,98.50,11641,11.49,455
534976,VMART,A,1595.00,1711.60,1595.00,1674.05,685,11.42,314
517506,TTKPRESTIG,A,4795.95,4920.05,4750.00,4783.70,238,11.40,135
542759,SPANDANA,B,499.00,499.00,451.00,454.35,2475,11.36,671
538962,MINDACORP,B,69.50,70.20,67.50,68.25,16400,11.31,776
506390,CLNINDIA,B,316.00,317.70,304.70,313.10,3599,11.26,368
506285,BAYERCROP,A,3892.50,4032.15,3879.05,3995.70,283,11.22,118
523574,FEL,B,12.75,12.75,12.52,12.75,87806,11.19,130
500144,FINCABLES,A,239.00,248.80,232.60,237.50,4663,11.00,801
506197,BLISSGVS,A,97.60,99.60,97.50,99.00,11135,10.99,738
500215,ATFL,B,460.00,499.95,460.00,476.15,2279,10.88,92
506690,UNICHEMLAB,B,151.70,158.90,141.35,151.55,7229,10.85,146
520059,MUNJALAU,B,34.55,37.80,34.20,37.20,28964,10.67,406
542724,EARUM,M,50.25,51.05,50.25,51.05,21000,10.62,7
508814,COSMOFILMS,B,268.00,268.00,248.40,253.75,4106,10.40,503
520008,RICOAUTO,B,27.10,28.20,26.10,27.15,38108,10.31,392
539551,NH,A,283.45,296.80,279.20,284.55,3583,10.30,414
513683,NLCINDIA,A,45.00,45.00,44.50,44.80,22940,10.28,260
507488,GMBREW,B,388.55,393.95,380.50,384.90,2658,10.25,351
533267,CANTABIL,B,239.00,244.80,235.70,244.75,4281,10.23,276
500710,AKZOINDIA,A,2037.75,2055.00,2016.10,2043.45,501,10.21,169
500405,SUPPETRO*,B,150.00,150.00,136.00,146.15,7098,10.10,535
540293,PRICOLLTD,B,47.65,52.40,47.65,51.05,19680,9.99,218
507410,WALCHANNAG,B,42.65,45.05,42.20,43.20,22707,9.95,301
534804,CARERATING,A,408.55,420.00,400.00,412.80,2428,9.95,596
540575,STARCEMENT,A,78.35,78.90,74.50,75.60,13032,9.89,718
532345,GATI,B,37.95,39.30,37.10,37.75,25896,9.80,357
540124,GNA,B,196.20,196.20,176.20,186.15,5295,9.73,295
523838,SIMPLEXINF,B,28.95,29.45,28.95,29.45,32966,9.70,140
524226,GAEL,B,128.20,128.20,119.55,120.60,7888,9.65,320
540025,ADVENZYMES,A,147.15,153.85,143.80,145.05,6502,9.47,174
532967,KIRIINDUS,B,294.40,294.60,285.00,289.50,3235,9.39,234
500380,JKLAKSHMI,A,204.00,207.50,199.00,202.90,4565,9.27,581
524735,HIKAL,B,104.00,110.40,103.05,110.40,8492,9.20,97
500003,AEGISLOG,A,169.40,170.00,164.10,165.10,5475,9.09,138
541557,FINEORG,B,2063.40,2130.00,2050.00,2109.35,433,9.06,159
540797,SHALBY,B,66.80,70.00,65.80,67.45,13465,9.04,137
526397,ALPHAGEO,B,190.00,190.00,170.00,181.60,5119,9.02,281
532892,MOTILALOFS*,A,500.00,501.90,486.60,497.00,1803,8.95,433
500336,SURYAROSNI,B,99.15,99.15,89.75,89.75,9862,8.95,120
513349,AJMERA,B,83.60,84.10,81.25,82.80,10710,8.86,177
532966,TWL,B,33.90,34.00,33.20,33.90,26392,8.86,296
533179,PERSISTENT,A,479.55,486.80,471.60,485.60,1808,8.60,383
540768,MAHLOG,A,298.20,304.55,283.30,285.20,2994,8.57,132
542333,CESCVENTURE,B,147.00,147.00,139.90,143.70,6073,8.57,133
505700,ELECON,B,21.90,22.50,21.25,21.95,38473,8.54,584
532756,MAHINDCIE,A,81.95,82.50,76.70,81.00,10602,8.47,203
533146,DLINKINDIA,B,70.00,74.50,69.00,73.90,11512,8.33,269
540902,AMBER,B,1081.00,1128.10,1081.00,1100.90,744,8.21,177
505192,SMLISUZU,B,364.25,394.65,361.00,381.20,2124,8.14,278
526642,MIRZAINT,B,40.05,42.00,38.55,40.65,20176,8.13,377
539141,UFO,B,78.90,78.90,72.20,72.95,11126,8.12,304
505790,SCHAEFFLER,A,3381.00,3503.00,3312.90,3483.65,235,8.06,106
531595,CGCL,B,123.20,126.00,120.10,121.90,6534,8.02,34
523398,JCHAC,A,2131.85,2140.80,2088.00,2123.80,373,7.92,128
532749,ALLCARGO,B,74.50,74.55,69.60,71.75,11099,7.89,320
530961,VIKASECO,B,1.55,1.55,1.45,1.55,509379,7.86,140
533520,IBULISL,A,47.05,49.40,44.70,48.15,16518,7.81,349
538835,INTELLECT,A,88.00,88.00,80.20,80.20,9342,7.51,81
500219,JISLJALEQS,A,5.67,5.67,5.67,5.67,131484,7.46,80
539871,THYROCARE,A,526.80,533.10,520.25,530.05,1411,7.46,233
502420,ORIENTPPR,B,19.50,19.50,18.62,19.15,39078,7.45,351
509820,PAPERPROD,B,208.00,214.00,205.65,211.35,3508,7.41,333
500039,BANCOINDIA,B,70.10,70.10,65.05,67.65,11015,7.37,431
532439,OLECTRA,B,71.90,71.90,69.15,69.15,10574,7.35,78
509243,TVSSRICHAK,B,1055.10,1055.10,985.10,1027.35,712,7.33,114
532129,HEXAWARE,A,265.00,269.30,257.05,263.55,2799,7.32,129
541143,BDL,B,217.55,218.35,209.50,216.30,3379,7.30,292
523704,MASTEK,B,236.55,240.00,225.00,228.20,3095,7.26,214
508906,EVERESTIND,B,186.20,186.20,160.00,168.70,4260,7.11,129
531633,LINCOPH,B,134.00,139.90,134.00,136.90,5155,7.01,120
542597,MSTC,B,95.55,95.55,89.45,90.75,7661,6.98,250
540596,ERIS,A,480.00,495.00,465.60,468.50,1451,6.97,176
533758,APLAPOLLO,A,1174.05,1200.30,1155.00,1161.10,593,6.96,231
540762,TIINDIA,A,350.00,357.00,337.15,340.75,2020,6.96,346
500186,HINDOILEXP,B,39.10,39.10,35.65,38.40,18450,6.88,384
539118,VRLLOG,B,168.00,169.10,162.50,163.30,4134,6.82,493
526881,63MOONS,B,59.90,59.90,56.05,59.25,11592,6.77,282
532189,ITDC,B,159.40,163.05,154.05,161.80,4301,6.77,414
500265,MAHSEAMLES,A,187.40,193.65,185.00,190.95,3561,6.76,432
533339,ZENTEC,B,40.30,43.75,38.20,39.95,17032,6.72,165
532323,SHIVACEM,X,9.83,9.85,9.00,9.76,70697,6.66,190
500266,MAHSCOOTER,A,2000.00,2099.40,1967.50,2076.60,324,6.59,108
540212,TCIEXP,B,668.75,670.90,645.50,651.20,992,6.53,187
542867,CSBBANK,B,119.50,122.00,116.80,117.35,5497,6.52,408
509675,HIL,B,740.00,755.00,716.10,739.35,884,6.51,258
532525,MAHABANK,B,9.90,10.32,9.35,9.85,66284,6.40,957
532783,DAAWAT,B,21.45,22.60,21.15,22.30,29252,6.36,261
500179,HCL-INSYS,B,6.05,6.15,5.95,6.15,102509,6.28,182
500338,PRSMJOHNSN,A,36.05,37.25,35.20,36.40,17348,6.26,278
532630,GOKEX,B,33.35,34.55,30.85,31.25,19568,6.23,619
531431,SHAKTIPUMP,B,177.00,178.00,171.60,173.45,3568,6.19,132
500252,LAXMIMACH,A,2476.00,2494.60,2424.00,2474.70,248,6.10,156
532356,TRIVENI,B,37.80,39.00,36.50,37.65,16041,6.08,289
531146,MEDICAMEQ,X,279.95,279.95,267.05,277.35,2170,6.03,51
540710,CAPACITE,B,85.55,93.00,85.55,87.50,6963,6.03,51
513375,CARBORUNIV,A,221.00,226.15,219.60,224.50,2701,6.00,283
532834,CAMLINFINE,B,43.00,43.00,41.75,41.90,14117,5.97,224
533137,DEN,B,41.00,41.00,40.50,41.00,14512,5.95,60
505872,WPIL,X,353.50,353.50,342.00,343.00,1716,5.91,87
533248,GPPL,A,54.15,55.55,53.35,54.90,10770,5.89,303
504741,INDIANHUME,B,154.80,155.15,148.95,150.00,3891,5.86,384
532663,SASKEN,B,410.45,459.95,410.45,451.70,1332,5.85,291
530117,FAIRCHEM,B,480.55,496.00,479.00,482.35,1209,5.85,183
526596,LIBERTSHOE,B,101.35,105.00,100.65,102.30,5701,5.85,331
534690,LAKSHVILAS,A,15.17,15.17,15.09,15.17,38655,5.85,119
532654,MCLEODRUSS,B,3.65,3.65,3.65,3.65,159868,5.84,83
521248,KITEX,B,93.40,94.00,89.90,91.05,6290,5.80,229
539981,MAXINDIA,A,63.50,66.95,63.50,64.15,8840,5.76,496
531548,SOMANYCERA,B,115.00,123.60,110.65,113.75,4962,5.75,80
532548,CENTURYPLY,A,115.40,119.05,114.35,115.25,4859,5.68,317
